Expsample_ID	Reference_Transcript_ID	Repository_Name	Transcript_Type_Reported	Result_Unit_Reported	Value_Reported	Comments
RAP1_IAA_30M_REP1	YAL069W	Ensembl	mRNA	TPM	559.774252	
RAP1_UNINDUCED_REP1	YAL069W	Ensembl	mRNA	TPM	567.903509	
RAP1_UNINDUCED_REP2	YAL069W	Ensembl	mRNA	TPM	0	
WT_REP1	YAL069W	Ensembl	mRNA	TPM	0	
WT_REP2	YAL069W	Ensembl	mRNA	TPM	275.99819	
RAP1_IAA_30M_REP1	YAL068W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL068W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL068W-A	Ensembl	mRNA	TPM	891.234572	
WT_REP1	YAL068W-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL068W-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL068C	Ensembl	mRNA	TPM	434.548865	
RAP1_UNINDUCED_REP1	YAL068C	Ensembl	mRNA	TPM	984.889074	
RAP1_UNINDUCED_REP2	YAL068C	Ensembl	mRNA	TPM	1872.641267	
WT_REP1	YAL068C	Ensembl	mRNA	TPM	449.555612	
WT_REP2	YAL068C	Ensembl	mRNA	TPM	647.032368	
RAP1_IAA_30M_REP1	YAL067W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL067W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL067W-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL067W-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL067W-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL067C	Ensembl	mRNA	TPM	26.857793	
RAP1_UNINDUCED_REP1	YAL067C	Ensembl	mRNA	TPM	72.645427	
RAP1_UNINDUCED_REP2	YAL067C	Ensembl	mRNA	TPM	50.22765	
WT_REP1	YAL067C	Ensembl	mRNA	TPM	14.019319	
WT_REP2	YAL067C	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL066W	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL066W	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL066W	Ensembl	mRNA	TPM	0	
WT_REP1	YAL066W	Ensembl	mRNA	TPM	0	
WT_REP2	YAL066W	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL065C	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL065C	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL065C	Ensembl	mRNA	TPM	0	
WT_REP1	YAL065C	Ensembl	mRNA	TPM	0	
WT_REP2	YAL065C	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL064W-B	Ensembl	mRNA	TPM	200.106332	
RAP1_UNINDUCED_REP1	YAL064W-B	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL064W-B	Ensembl	mRNA	TPM	146.848766	
WT_REP1	YAL064W-B	Ensembl	mRNA	TPM	207.27756	
WT_REP2	YAL064W-B	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL064C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL064C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL064C-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL064C-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL064C-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL064W	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL064W	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL064W	Ensembl	mRNA	TPM	493.936916	
WT_REP1	YAL064W	Ensembl	mRNA	TPM	0	
WT_REP2	YAL064W	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL063C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL063C-A	Ensembl	mRNA	TPM	850.022642	
RAP1_UNINDUCED_REP2	YAL063C-A	Ensembl	mRNA	TPM	440.78452	
WT_REP1	YAL063C-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL063C-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL063C	Ensembl	mRNA	TPM	46.866316	
RAP1_UNINDUCED_REP1	YAL063C	Ensembl	mRNA	TPM	95.838975	
